"sector_de_actividad_económica","anio","vab_pb","provincia"
"Captación , depuración y distribución de agua","2006","392950585.41451","CABA"
"Construcción","2006","3663241826.09769","CABA"
"Comercio mayorista, minorista y reparaciones","2006","14739320137.95427","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2006","625763207.13153","CABA"
"Restaurantes, bares y cantinas","2006","2454187258.58250","CABA"
"Transporte","2006","5241991311.79552","CABA"
"Comunicaciones","2006","6192859031.55313","CABA"
"Intermediación financiera y otros servicios financieros","2006","7456490427.03833","CABA"
"Servicios de seguros","2006","2164335104.98074","CABA"
"Servicios auxiliares a la actividad financiera","2006","893947414.04731","CABA"
"Propiedad de la vivienda","2006","5115442958.02798","CABA"
"Resto","2006","15195616391.02235","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2006","5086269569.78941","CABA"
"Enseñanza pública","2006","1593426767.67543","CABA"
"Enseñanza privada","2006","1398176519.15154","CABA"
"Salud pública","2006","1113400185.23111","CABA"
"Salud privada","2006","3339752535.04555","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2006","630779808.61161","CABA"
"Asociaciones","2006","1777703325.31250","CABA"
"Servicios culturales y deportivos. Otras actividades","2006","2957532697.84630","CABA"
"Servicio doméstico","2006","1081065130.96610","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2007","198197087.34897","CABA"
"Silvicultura, extracción de madera y servicios conexos","2007","198771.61144","CABA"
"Pesca","2007","44771733.61067","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2007","731496788.03002","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2007","119180622.84088","CABA"
"Elaboración de productos alimenticios y bebidas","2007","2832608620.31183","CABA"
"Elaboración de productos de tabaco","2007","64914560.11976","CABA"
"Fabricación de productos textiles","2007","750234253.99366","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2007","1478257708.62654","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2007","453147882.40654","CABA"
